sequence_number,US,source_a,source_c,source_b,source_d,source_e,source_m,source_o,source_h,source_r,source_s,source_t,source_u,source_p,source_x,source_w,Freq,last_update_days_ago,1st_update_days_ago,Web order,Gender=male,Address_is_res,Purchase,Spending,Partition,,
247,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2194,2506,0,0,1,1,161,v,,
248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1141,2915,0,1,0,1,208,t,,
249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3011,3011,0,1,0,1,80,v,,
250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2080,2109,1,0,1,1,35,s,,
251,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507,3507,0,0,0,0,0,v,,
252,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1968,1968,1,1,0,0,0,s,,
253,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,962,2905,0,0,0,1,141,v,,
254,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2212,2212,0,0,0,0,0,v,,
255,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2648,2648,1,1,0,1,130,t,,
256,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1415,1436,0,1,1,0,0,s,,
257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1758,2794,1,1,0,1,167,s,,
258,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2383,2383,0,1,0,0,0,v,,
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,814,814,1,1,0,1,172,t,,
260,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,58,1,0,0,1,99,t,,
261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3528,3528,1,1,0,0,0,v,,
262,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2960,2999,0,0,0,1,130,s,,
263,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1882,3883,1,0,0,1,210,v,,
264,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2737,2737,0,1,1,0,0,v,,
265,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2163,2228,0,0,0,1,107,t,,
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1683,1683,0,0,0,1,85,s,,
267,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,800,2640,1,1,0,1,1294,s,,
268,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,304,311,1,0,0,1,303,t,,
269,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1134,3566,1,0,0,1,271,t,,
270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1361,1361,0,0,0,1,1250,t,,
271,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1204,1262,0,0,0,1,81,t,,
272,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4065,4065,0,0,0,1,32,v,,
273,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,616,616,1,0,1,0,0,t,,
274,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1415,1428,0,1,1,0,0,t,,
275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2705,2705,0,1,0,0,0,s,,
276,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,107,107,1,1,0,1,129,s,,
277,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2009,2065,0,1,0,1,163,v,,
278,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833,833,0,1,0,0,0,s,,
279,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1086,2710,0,1,1,1,135,s,,
280,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1879,1953,0,0,0,1,164,t,,
281,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,744,1,0,0,0,0,t,,
282,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1786,1835,1,0,0,1,95,t,,
283,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1129,2348,0,0,0,1,280,t,,
284,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1899,2233,0,0,1,1,166,s,,
285,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,301,301,0,1,0,0,0,s,,
286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1162,1162,1,0,1,1,164,s,,
287,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2735,2735,0,1,0,0,0,v,,
288,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2478,2478,0,0,0,1,136,t,,
289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0,1,0,1,129,s,,
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1130,1147,0,0,0,1,309,v,,
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1035,1035,1,1,1,0,0,v,,
292,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2891,3166,1,0,1,1,143,t,,
293,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2599,2599,1,0,0,1,130,v,,
294,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1415,2296,0,1,1,0,0,t,,
295,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1120,3122,1,1,0,1,200,v,,
296,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833,833,0,1,0,0,0,v,,
297,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,283,640,0,0,0,1,405,s,,
298,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1752,1774,1,1,0,0,0,t,,
299,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3025,3025,1,0,0,1,153,v,,
300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1175,2299,0,0,0,1,44,s,,
301,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3791,3791,1,1,0,1,88,v,,
302,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2767,2767,1,0,0,1,124,t,,
303,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1690,1690,0,0,0,1,90,v,,
304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1666,1666,0,0,0,1,165,v,,
305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2793,2793,1,0,0,1,170,v,,
306,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,512,512,0,0,1,0,0,s,,
307,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3914,3914,0,0,0,0,0,s,,
308,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1290,1290,0,0,0,1,112,v,,
309,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1626,1626,0,0,0,1,165,v,,
310,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1968,1968,1,0,0,1,255,t,,
311,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2305,3745,1,0,0,1,60,t,,
312,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1505,1505,0,1,0,0,0,s,,
313,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,526,1779,1,0,1,1,427,t,,
314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3394,3394,0,1,0,0,0,t,,
315,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1991,1991,0,1,0,1,261,t,,
316,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3453,3453,0,1,0,0,0,t,,
317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,408,2604,0,0,1,1,188,v,,
318,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,1,0,1,161,v,,
319,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2100,3944,0,1,0,1,204,s,,
320,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3398,3522,1,0,0,1,192,v,,
321,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3479,3975,0,0,1,1,189,v,,
322,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,441,441,1,1,0,0,0,v,,
323,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,520,1008,1,1,0,1,212,v,,
324,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2194,2241,0,1,1,1,30,v,,
325,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,217,4065,1,1,0,0,0,v,,
326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3401,3401,0,1,0,0,0,v,,
327,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1582,1603,1,0,1,1,3,v,,
328,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2380,2380,1,1,0,0,0,s,,
329,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,3522,0,0,0,0,0,v,,
330,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,868,868,1,0,0,0,0,v,,
331,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2758,2758,1,0,0,1,161,t,,
332,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2481,3359,1,1,0,1,619,t,,
333,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,3522,0,0,0,0,0,v,,
334,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2943,2943,0,1,0,0,0,s,,
335,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,1,0,1,114,s,,
336,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2278,2278,1,1,0,0,0,t,,
337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1710,1710,1,0,0,0,0,v,,
338,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,833,833,0,0,0,0,0,v,,
339,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2529,2529,0,0,0,0,0,t,,
340,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,868,868,0,1,0,0,0,v,,
341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,916,919,1,0,1,1,43,t,,
342,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2539,2539,0,1,0,0,0,v,,
343,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2299,2299,0,1,0,0,0,t,,
344,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1864,1864,0,0,0,1,30,v,,
345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,295,302,0,0,0,1,164,t,,
346,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1128,3746,0,1,0,1,248,t,,
347,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,492,1792,1,1,1,1,139,v,,
348,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3334,3334,0,1,0,0,0,v,,
349,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2962,3244,1,1,0,1,96,v,,
350,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4157,4157,0,1,0,1,98,s,,
351,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,891,891,1,1,0,1,81,t,,
352,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2065,3822,0,1,0,1,197,v,,
353,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1346,1378,0,1,1,0,0,s,,
354,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2054,2404,1,1,0,1,25,t,,
355,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1134,3464,0,0,1,1,314,v,,
356,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2831,2831,1,1,0,0,0,v,,
357,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,681,714,0,0,1,0,0,s,,
358,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3185,3185,0,1,1,0,0,s,,
359,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3548,3548,0,0,0,0,0,t,,
360,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,304,304,0,1,1,0,0,s,,
361,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3382,3425,0,0,0,0,0,v,,
362,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,841,2088,1,1,1,1,50,s,,
363,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2744,2744,1,0,0,0,0,s,,
364,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2073,2073,0,0,0,0,0,v,,
365,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3655,3655,0,1,0,1,35,t,,
366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1463,1463,1,1,0,0,0,v,,
367,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3011,3011,0,1,0,0,0,s,,
368,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2802,2802,1,1,0,1,161,v,,
369,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2016,2424,1,0,0,1,1353,t,,
370,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,430,2772,1,1,0,1,1184,t,,
371,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3146,3146,1,0,0,1,10,t,,
372,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507,3507,0,0,0,0,0,t,,
373,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1536,1709,0,1,0,1,1500,v,,
374,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3248,3248,0,0,1,1,132,t,,
375,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3095,3095,0,0,0,0,0,t,,
376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3235,3235,1,1,1,1,110,s,,
377,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1031,3388,0,1,0,1,191,v,,
378,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2201,2254,0,0,0,1,99,v,,
379,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2529,2529,1,0,0,1,35,t,,
380,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3129,3262,0,1,0,1,217,t,,
381,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3283,3306,1,0,0,1,128,s,,
382,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1646,1715,1,0,1,0,0,t,,
383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3401,3401,0,0,0,0,0,v,,
384,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,479,2578,0,0,0,1,459,t,,
385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1192,1192,1,1,0,1,44,s,,
386,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,314,314,0,1,0,1,149,v,,
387,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,506,1785,1,1,0,1,282,v,,
388,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2072,2102,0,0,0,1,105,t,,
389,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2618,2618,1,1,1,1,6,s,,
390,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,9,0,1,1,1,196,t,,
391,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3278,3278,1,0,0,1,153,t,,
392,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,217,217,0,0,1,0,0,s,,
393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1529,1619,0,1,1,1,424,v,,
394,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3583,4188,0,0,0,1,205,v,,
395,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1856,1883,0,0,1,0,0,t,,
396,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2632,2632,0,1,0,0,0,v,,
397,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1415,1436,0,1,1,0,0,t,,
398,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1249,1249,0,0,0,0,0,v,,
399,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3159,3159,1,0,0,0,0,v,,
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,458,827,1,1,0,1,114,t,,
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,864,1248,0,1,0,1,163,t,,
402,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3747,3747,0,0,0,0,0,t,,
403,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3975,4157,1,1,0,1,170,s,,
404,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2044,2081,1,1,1,1,136,v,,
405,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1646,1708,0,1,1,1,83,v,,
406,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1709,1709,0,0,0,0,0,s,,
407,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,2404,0,0,0,1,114,t,,
408,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2765,2765,0,0,0,0,0,t,,
409,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,906,906,1,0,1,1,141,v,,
410,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1498,1536,1,0,1,1,40,v,,
411,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2891,2891,0,1,0,0,0,t,,
412,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2744,2758,1,0,0,1,86,t,,
413,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1646,1682,0,1,1,0,0,s,,
414,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1240,1240,0,0,0,0,0,s,,
415,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2802,2802,0,1,0,0,0,t,,
416,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,534,534,0,1,1,0,0,t,,
417,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1346,1386,0,0,1,0,0,t,,
418,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1842,2737,1,1,1,1,169,v,,
419,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1780,1808,0,0,1,0,0,v,,
420,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,247,2361,0,0,0,1,324,v,,
421,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2919,2919,0,1,1,0,0,v,,
422,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2735,2735,0,1,0,0,0,s,,
423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,758,758,0,1,0,1,83,v,,
424,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1122,3791,0,0,0,1,274,t,,
425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1137,3125,0,0,1,1,287,v,,
426,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,644,644,0,1,1,0,0,v,,
427,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1794,2291,1,1,1,1,259,s,,
428,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3125,3125,1,0,0,1,103,t,,
429,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,974,974,0,0,0,0,0,s,,
430,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3747,3747,0,1,0,0,0,s,,
431,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,216,3125,1,0,0,1,134,t,,
432,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1498,2831,0,1,1,1,209,v,,
433,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1739,3278,0,1,0,1,226,s,,
434,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,345,345,1,1,0,0,0,t,,
435,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1801,1823,1,1,0,0,0,t,,
436,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,216,1,1,0,0,0,t,,
437,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1130,1779,0,0,0,1,252,s,,
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1612,1612,0,0,0,1,43,t,,
439,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1568,2935,1,0,0,1,344,v,,
440,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,1,0,1,54,v,,
441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2863,2863,0,0,0,0,0,t,,
442,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,535,535,0,1,1,1,149,v,,
443,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3430,3430,0,0,0,0,0,s,,
444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1207,1207,0,1,0,0,0,s,,
445,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,486,486,0,1,0,1,30,t,,
446,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3262,3262,1,1,0,1,158,v,,
447,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2249,2249,0,0,0,1,54,v,,
448,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2647,3689,0,1,0,1,1255,v,,
449,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3593,3593,0,1,0,1,98,v,,
450,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1890,2361,0,0,0,1,85,t,,
451,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3306,3306,0,0,0,0,0,t,,
452,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3747,3747,0,0,0,0,0,s,,
453,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4188,4188,1,1,0,1,137,s,,
454,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2772,2772,1,0,0,1,135,v,,
455,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1261,2137,0,0,0,1,44,v,,
456,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,827,827,1,1,0,1,163,v,,
457,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3590,4005,1,0,0,1,116,s,,
458,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1120,3157,1,0,1,1,172,v,,
459,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1570,3746,1,0,0,1,104,v,,
460,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1253,3541,0,1,0,0,0,t,,
461,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2977,2978,0,0,0,1,70,t,,
462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,458,583,1,0,0,1,271,v,,
463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1962,1981,1,1,1,0,0,t,,
464,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3255,3255,1,1,0,0,0,s,,
465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1091,1091,0,0,0,0,0,s,,
466,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1010,1010,0,0,0,0,0,v,,
467,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2991,2991,1,0,1,1,184,v,,
468,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2740,2740,0,0,0,0,0,t,,
469,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2728,2728,1,1,0,0,0,s,,
470,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4065,4065,0,1,0,0,0,v,,
471,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2102,2102,1,0,0,1,161,t,,
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,220,220,0,1,0,0,0,s,,
473,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,216,216,0,1,0,0,0,t,,
474,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2950,3061,0,1,0,0,0,s,,
475,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,217,0,1,0,0,0,s,,
476,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2999,2999,1,0,0,1,34,t,,
477,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,463,2432,1,1,0,1,322,t,,
478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,743,743,0,0,0,0,0,t,,
479,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,700,700,1,1,1,0,0,s,,
480,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,197,3395,1,0,0,0,0,v,,
481,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,301,1036,0,0,0,1,1249,t,,
482,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2905,2905,1,0,0,0,0,t,,
483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,665,665,0,1,1,0,0,s,,
484,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,308,308,0,1,0,1,40,v,,
485,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2735,2735,0,0,0,0,0,v,,
486,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2415,2415,1,1,0,1,35,s,,
487,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,113,113,1,0,0,1,308,v,,
488,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1653,1934,1,0,1,1,192,t,,
489,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3507,3507,0,1,0,0,0,v,,
490,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1708,1800,1,1,0,1,122,v,,
491,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3822,3822,0,1,0,0,0,v,,
492,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1976,2129,0,0,0,1,43,v,,
493,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,240,2900,0,0,1,1,588,t,,
494,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2481,3654,1,0,0,1,160,s,,
495,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2877,2877,0,1,0,0,0,t,,
